aggregated from the Excel ffiile attached to the article																				
Family	Genus	species	SpeciesNo	Mc	Na	Yo	Ch	An	Ot	Ni	Hg	Mi	Hy	Ha	Hi	Mk	Ae	Me	Im	period
Bradybaenidae	Mandarina	sp2	65	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	modern
Bradybaenidae	Mandarina	hayatoi	66	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	modern
Bradybaenidae	Mandarina	sp3	67	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	modern
Bradybaenidae	Mandarina	sp6	68	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	modern
Bradybaenidae	Mandarina	kaguya	69	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	modern
Bradybaenidae	Mandarina	sp1	70	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	modern
Bradybaenidae	Mandarina	anijimana	71	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	modern
Bradybaenidae	Mandarina	sp4	72	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	modern
Bradybaenidae	Mandarina	sp5	73	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	modern
Bradybaenidae	Mandarina	trifasciata	74	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	modern
Bradybaenidae	Mandarina	conus	75	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	modern
Euconulidae	Nipponochlamys	lineolatus	76	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	modern
Helicinidae	Ogasawarana	nitida	77	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	modern
Helicinidae	Ogasawarana	ogasawarana	78	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	modern
Helicinidae	Ogasawarana	yoshiwarana	79	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	modern
Helicinidae	Ogasawarana	arata	80	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	modern
Helicinidae	Ogasawarana	hirasei	81	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	modern
Helicinidae	Ogasawarana	metamorpha	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	modern
Helicinidae	Ogasawarana	habei	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	modern
Helicinidae	Ogasawarana	obtsusa	84	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	modern
Helicinidae	Ogasawarana	sp1	85	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	modern
Helicinidae	Ogasawarana	sp.2	86	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	modern
Helicinidae	Ogasawarana	sp.3	87	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	modern
Assimineidae	Paludinella	sp1	88	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	modern
Assimineidae	Paludinella	sp2	89	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	modern
Assimineidae	Paludinella	sp1	90	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	modern
Assimineidae	Paludinella	sp2	91	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	modern
Assimineidae	Paludinella	sp3	92	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	modern
Euconulidae	Trochochlamys	ogasawarana	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	modern
Vertigidae	Vertigo	sp	94	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	modern
Ariophantidae	Vitrinula	hahajimana	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	modern
Ariophantidae	Vitrinula	chaunax	96	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	modern
